activity,cid,acvalue
Active,11460124,8
Active,11437795,8
Active,11360626,8
Active,11323577,2.5
Active,44361923,3.6
Active,11738326,5
Active,11269220,4.3
Active,11348920,5.2
Active,11277927,0.67
Active,11414031,1.6
Active,11196500,0.11
Active,11287488,1.5
Active,11151102,1.2
Active,9994848,0.044
Active,11722988,6
Active,11221089,0.53
Active,11220440,20
Active,11210392,20
Active,11222711,20
Active,444732,0.05329
Active,4261,2.19459
Active,10154438,0.23315
Active,11392331,0.37097
Active,9799221,0.20527
Active,6918714,0.17202
Active,11420037,0.56997
Active,11483359,0.94161
Active,5311,0.05
Active,11129435,36.8
Active,444732,0.0033
Active,444732,0.0072
Active,11130223,1
Active,10379137,0.1
Active,10999664,5
Active,10092736,4.6
Active,9977701,2.8
Active,10834447,6
Active,11795873,7.7
Active,6445533,0.032
Active,11088199,0.064
Active,10669053,44
Active,10474722,2.2
Active,5278573,2.4
Active,5278574,3.8
Active,5278572,3.9
Active,10597715,40
Active,10193364,2
Active,10309124,1.1
Active,10401611,1.9
Active,10267576,2.4
Active,11022963,2.9
Active,5278571,3.8
Active,4261,4.8
Active,10215484,0.31
Active,9797137,0.044
Active,10125717,0.83
Active,10172225,0.24
Active,6400741,0.004
Active,11092030,0.33
Active,10412869,0.002
Active,11113600,0.079
Active,21581855,0.044
Active,11139651,23
Active,5311,0.12
Active,44299072,0.041
Active,44299073,0.0565
Active,44299082,0.0803
Active,44299123,0.015
Active,44299132,0.0314
Active,44343096,2.9
Active,44365075,5
Active,44365258,0.0296
Active,44342956,3
Active,44342958,2.2
Active,9977314,0.31
Active,25023793,0.38
Active,44343064,3.2
Active,9882812,6.7
Active,44341053,2.9
Active,44342825,2.6
Active,44342832,8.6
Active,10023483,0.3
Active,44342955,16
Active,44330309,0.66
Active,10479996,0.051
Active,44330499,0.099
Active,44330513,0.64
Active,9870729,0.038
Active,44330590,5
Active,44299378,0.0054
Active,44299423,0.732
Active,9965141,1.006
Active,44299452,0.0035
Active,44299473,0.0065
Active,44299474,0.0031
Active,44299141,0.015
Active,44299150,0.0375
Active,12988035,1.68
Active,12988036,0.524
Active,9972242,0.0146
Active,44299365,0.0031
Active,444732,0.012
Active,3811,0.152
Active,10380251,12.187
Active,11722754,0.359
Active,9841246,0.01
Active,6918328,0.001
Active,73345517,0.11
Active,73347046,0.007
Active,73348547,0.015
Active,73350138,0.074
Active,73351618,0.001
Active,21670609,0.0003
Active,73353105,0.0001
Active,73354620,0.0004
Active,73356177,0.0002
Active,5311,0.194
Active,444732,0.026
Active,9880847,0.063
Active,10928349,0.03
Active,11058122,0.066
Active,11014893,0.164
Active,11730819,0.37
Active,11035042,0.262
Active,11810219,0.053
Active,10892598,0.051
Active,395803,0.005
Active,11088199,0.15
Active,11783698,0.053
Active,11025801,0.278
Active,10960555,0.052
Active,11144368,0.085
Active,11760982,0.024
Active,11068867,0.023
Active,11077840,0.069
Active,11079877,0.079
Active,10948013,0.118
Active,10991689,0.023
Active,11783488,0.027
Active,9858986,0.016
