baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids,cellids,targettaxid
100421571,Active,90525,103384374,11460124,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,8,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 5-8 uM,N-Hydroxy-4-(2-propylpentanoylamino)benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100421582,Active,90525,103385341,11437795,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,8,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 5-8 uM,N-Hydroxy-4-[(2-propylpentanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100421593,Active,90525,103385364,11360626,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,8,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 5-8 uM,N-(2-Aminophenyl)-4-[(2-propylpentanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100421626,Active,90523,103384330,11323577,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.5,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-4-[[(2-phenylacetyl)amino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421637,Active,90523,103384360,44361923,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,3.6,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-4-[(pentanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421648,Active,90523,103384434,11738326,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,5,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-[4-[3-(Hydroxyamino)-3-oxopropyl]phenyl]-2-propylpentanamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421659,Active,90523,103384631,11269220,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,4.3,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-(2-Aminophenyl)-4-[(4-phenylbutanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421670,Active,90523,103384632,11348920,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,5.2,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-(2-Aminophenyl)-4-[[(2-phenylacetyl)amino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421692,Active,90523,103385134,11277927,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.67,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-3-[4-[(2-phenylacetyl)amino]phenyl]propanamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421703,Active,90523,103385159,11414031,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1.6,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-[4-[3-(Hydroxyamino)-3-oxopropyl]phenyl]butanamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
